疾病,疾病介紹
異位性皮膚炎,異位性皮膚炎是肌膚太過乾燥而反覆發作的慢性皮膚炎，為一種過敏反應。日常生活上宜避開誘發過敏反應的物質，像是積極維持環境清潔，減少塵?與黴菌滋生。平常可使用溫和的清潔產品，不用過熱的水洗澡，並在洗澡後擦上成分單純的保濕品。另外選擇純棉的衣服，以及使用無添加的洗衣產品也會有幫助。
乾癬,肥胖會增加乾癬的罹患風險。另外吸菸以及酗酒者的乾癬發生率較高，故宜避免菸酒。當壓力過大時易誘發乾癬，因此需找尋適合自己的紓壓方式。冬季日照較少、或乾冷時亦容易讓乾癬惡化，除了可以適度從事戶外運動外，使用成分單純的外用保濕品，可幫助減輕病灶的不適。
牙周病,正確的潔牙方式是防範牙周病的最有效方法，可採用貝氏刷牙法並搭配牙線的使用，在每次用餐過後確實執行。每半年定期找牙科醫師檢查口腔衛生，必要時可加做牙結石清除（洗牙）。飲食上宜減少精緻甜食、飲料攝取，並定時補充水分，降低牙斑菌的滋生。
口腔癌,絕大部分的口腔癌發生與抽煙、喝酒、嚼檳榔相關，高風險者宜避免上述習慣。每半年應定期做口腔健康檢查，並實行正確的刷牙方式，維持口腔衛生。飲食上可多攝取蔬菜及富含維生素C之水果（如芭樂、柑橘類），並避免過燙或太辣、太酸的刺激性食物。
鼻咽癌,遺傳為造成鼻咽癌之重要因子。飲食上要避免醃漬加工食品，特別是鹹魚、臘肉等。另外吸菸、經常燒香或暴露於工業廢氣中，亦被認為和鼻咽癌相關，故宜避免並配戴口罩。若突然有不明原因之流鼻血、鼻涕變濃稠或單邊耳鳴，應找耳鼻喉科做進一步檢查。
食道癌,目前已知吸菸和飲酒（特別是烈酒）及嚼檳榔會增加食道癌的風險。在飲食上要避免易形成亞硝胺之食物（醃漬、燻製食物）以及過燙的食物。肥胖或曾發生過胃食道逆流者較易罹患食道癌，所以過重及肥胖者宜減輕體重。若突然發生吞嚥感覺異常且持續兩週以上，宜儘快就醫以釐清病因。
肺癌,肺癌的防治宜從改善生活中的危險因子開始：不養成吸菸習慣或吸菸者立即戒菸，避免暴露在二手菸環境。飲食上則需改變容易造成油煙的烹調方式，例如以燉煮或烤箱料理代替油煎和油炒，並使用抽油煙機，維持通風良好。另外在空氣污染程度高的日子需配戴口罩。
胃癌,胃癌和飲食內容息息相關，飲食上宜避免油炸、煙燻、醃漬食物。可多攝取高麗菜、及富含黏液之蔬菜如秋葵及山藥。另外也應減少刺激性食物如酒精、濃茶及咖啡的攝取，減少刺激腸胃黏膜。幽門螺旋桿菌感染亦會增加其風險，除了至醫院做吹氣檢測外，日常中亦可補充益生菌。
肝癌,肝癌常由肝硬化發展而成，而造成肝硬化之原因除了藥物濫用之外，主要為酗酒所導致，因此要避免飲酒過量。另外病毒性肝炎也會增加肝癌罹患風險，故B型肝炎帶原者需注意追蹤。此外飲食中的黃麴毒素會造成肝毒性並誘發肝癌，所以日常宜減少花生及其製品（如花生粉、花生醬、花生湯）。
大腸癌,宜減少紅肉及高動物性脂肪攝取。日常飲食中可增加蔬菜、水果，並用全穀類替換白米白麵條，以增加纖維素攝取，使排便順暢。而久坐和缺乏運動的生活型態亦會增加風險，故工作中可增加起身活動次數。又若是排便習慣改變，或糞便型狀變細時，應趕快安排大腸鏡等進階檢查。
胰臟癌,應避免抽菸及過量飲酒，而肥胖及糖尿病皆會增加罹患風險，故宜注意體重控制，並監控血糖。飲食上宜避免精緻加工食品，並多攝取天然食材。胰臟癌之初期症狀不明顯，若突然出現不明原因之上腹痛伴隨背痛、體重莫名減輕或出現黃疸，宜盡速安排進階檢查（如腹部超音波、電腦斷層）。
乳癌,過重或肥胖將會增加罹患乳癌的風險，因此建議將身體質量指數(BMI)維持在18.5-24之間。另外要避免過度飲酒、使用口服避孕藥及不當的荷爾蒙補充。飲食方面要避免加工食品中的反式脂肪、及過多的脂肪攝取，亦可多喝綠茶。平常可利用洗澡時做自我檢查，以早期發現徵狀。
卵巢癌,肥胖會增加罹患卵巢癌的風險，故宜維持體重在正常範圍。另卵巢癌的發生亦和荷爾蒙的過度刺激相關，故宜避免補充含高單位雌激素的保健食品。高溫、油炸烹調食物產生的丙烯醯胺會提高其罹患率，因此宜減少攝取薯條、袋裝薯片、及烤色過深的麵包。另外可多攝取紅茶及柑橘類水果中含有的黃酮化合物。
子宮頸癌,人類乳突病毒(HPV)感染、性伴侶人數多及抽菸女性容易罹患子宮頸癌。未有性行為之女性，可施打子宮頸易苗預防，而有性經驗者，則宜每年定期進行子宮頸抹片檢查。另外若突然發生白帶增多、陰道不正常出血或不明原因之下腹部疼痛，應儘快安排婦科相關檢查。
攝護腺癌,攝護腺癌的發生會和年齡呈正相關。若家庭成員有攝護腺癌的病史，也會增加自身的罹患風險。而高脂肪的飲食會提高風險，故宜減少攝取油炸食物、紅肉如牛肉豬肉羊肉等。平常可多攝取富含茄紅素的食材如番茄、紅甜椒、西瓜、木瓜。另外可補充富含鋅的食物如牡蠣、海鮮、南瓜子等。
膀胱癌,吸菸者的膀胱癌風險為不吸菸者的2倍，且吸菸史越長風險越高。每天至少喝2000毫升的水，稀釋尿液中的致癌物質，並避免長時間憋尿。另外美髮業者，及工作會經常接觸染色、印刷、皮革者，需做好防護措施。可多攝取富含維生素A與類胡蘿素的食物，如雞蛋、牛奶、胡蘿蔔、南瓜等食材。
淋巴癌,避免接觸油漆、染髮劑、殺蟲劑等化學物質。暴露在有機化學物質如苯，亦會增加淋巴癌的發生率。故宜避免抽菸及工業廢氣，及含苯甲酸鹽防腐劑的加工食品（如魚丸、瓶裝果汁和調味料）。另外代謝症候群患者易誘發淋巴癌，故宜將血壓、血脂、血糖維持在正常範圍。
